Accession: AM233397	Species: Secamone filiformis
Accession: HG004856	Species: Bousigonia angustifolia
Accession: FJ037795	Species: Lacmellea aculeata
Accession: MK039538	Species: Hancornia speciosa
Accession: MK426888	Species: Kopsia officinalis
Accession: KX689310	Species: Ochrosia borbonica
Accession: AB331883	Species: Neisosperma sevenetii
Accession: AB331882	Species: Neisosperma thiollierei
Accession: AB331881	Species: Neisosperma mianum
Accession: AB331880	Species: Neisosperma brevitubum
Accession: AB331868	Species: Neisosperma kilneri
Accession: AB331866	Species: Neisosperma citrodorum
Accession: AB331865	Species: Neisosperma acuminatum
Accession: AB331863	Species: Neisosperma glomeratum
Accession: AB331867	Species: Neisosperma poweri
Accession: AB331861	Species: Neisosperma nakaianum
Accession: MH762917	Species: Catharanthus trichophyllus
Accession: AB331856	Species: Kopsia flavida
Accession: KP092768	Species: Kopsia arborea
Accession: AB331879	Species: Ochrosia grandiflora
Accession: AB331878	Species: Ochrosia silvatica
Accession: AB331877	Species: Ochrosia mulsanti
Accession: AB331875	Species: Ochrosia kauaiensis
Accession: AB331874	Species: Ochrosia sandwicensis
Accession: AB331873	Species: Ochrosia compta
Accession: AB331869	Species: Ochrosia vitiensis
Accession: AB331858	Species: Ochrosia oppositifolia
Accession: AB331864	Species: Ochrosia coccinea
Accession: AB331876	Species: Ochrosia elliptica
Accession: HQ386694	Species: Rauvolfia densiflora
Accession: HQ130660	Species: Rauvolfia tetraphylla
Accession: AB376674	Species: Rauvolfia cambodiana
Accession: AB365186	Species: Rauvolfia sumatrana
Accession: KP092769	Species: Rauvolfia verticillata
Accession: MW019649	Species: Rauvolfia serpentina
Accession: MK426912	Species: Rauvolfia perakensis
Accession: MK426918	Species: Rauvolfia yunnanensis
Accession: KC878601	Species: Rauvolfia vomitoria
Accession: MK039541	Species: Vinca major
Accession: JX856518	Species: Tabernaemontana elegans
Accession: MK039540	Species: Spongiosperma grandiflorum
Accession: MK426880	Species: Ervatamia flabelliformis
Accession: MN723986	Species: Tabernaemontana ventricosa
Accession: MN723985	Species: Tabernaemontana crassa
Accession: MN723984	Species: Tabernaemontana brachyantha
Accession: HQ386697	Species: Tabernaemontana divaricata
Accession: KR532647	Species: Tabernaemontana corymbosa
Accession: KC878558	Species: Tabernaemontana bufalina
Accession: MT106642	Species: Tabernaemontana alternifolia
Accession: HQ222982	Species: Tabernaemontana pandacaqui
Accession: MN723995	Species: Voacanga bracteata
Accession: MN723994	Species: Voacanga africana
Accession: MF348867	Species: Allamanda blanchetii
Accession: MH558632	Species: Allamanda schottii
Accession: MH566887	Species: Allamanda cathartica
Accession: HQ130658	Species: Plumeria alba
Accession: HQ130659	Species: Plumeria rubra
Accession: KJ559417	Species: Cerbera manghas
Accession: MW374678	Species: Thevetia ovata
Accession: HQ386699	Species: Thevetia neriifolia
Accession: MH844590	Species: Thevetia peruviana
Accession: MK895645	Species: Cerbera odollam
Accession: MK039537	Species: Gonioma kamassi
Accession: MW412675	Species: Rhazya stricta
Accession: MF963953	Species: Amsonia tomentosa
Accession: MK039532	Species: Amsonia elliptica
Accession: KJ649326	Species: Amsonia orientalis
Accession: KP092765	Species: Alyxia levinei
Accession: HG004832	Species: Alyxia balansae
Accession: LC461729	Species: Alyxia reinwardtii
Accession: MW139085	Species: Alyxia ruscifolia
Accession: MK039535	Species: Condylocarpon isthmicum
Accession: MT476998	Species: Dyera polyphylla
Accession: MK039536	Species: Dyera costulata
Accession: KR531723	Species: Alstonia rostrata
Accession: JX856398	Species: Alstonia macrophylla
Accession: MG818154	Species: Alstonia scholaris
Accession: MK039533	Species: Aspidosperma excelsum
Accession: FJ037793	Species: Aspidosperma marcgravianum
Accession: FJ037792	Species: Aspidosperma cruentum
Accession: MN177146	Species: Acokanthera schimperi
Accession: MH762916	Species: Carissa wyliei
Accession: MN177158	Species: Carissa edulis
Accession: KR733689	Species: Carissa spinarum
Accession: MW887554	Species: Carissa macrocarpa
Accession: KC155289	Species: Carissa carandas
Accession: HG004858	Species: Melodinus cochinchinensis
Accession: KR149555	Species: Calotropis procera
Accession: MT276376	Species: Vincetoxicum ucrainicum
Accession: MT276345	Species: Vincetoxicum pannonicum
Accession: MT276377	Species: Vincetoxicum flavum
Accession: LR700200	Species: Vincetoxicum hainanense
Accession: MN106211	Species: Vincetoxicum speciosum
Accession: MN106206	Species: Vincetoxicum parviflorum
Accession: MF574131	Species: Vincetoxicum luridum
Accession: MF574117	Species: Vincetoxicum kenouriense
Accession: MF574110	Species: Vincetoxicum cardiostephanum
Accession: LN880590	Species: Vincetoxicum rehmannii
Accession: LN880595	Species: Vincetoxicum schmalhausenii
Accession: LN880587	Species: Vincetoxicum mozaffarianii
Accession: LN880575	Species: Vincetoxicum assadii
Accession: LN880576	Species: Vincetoxicum brachystelmoides
Accession: MT276371	Species: Vincetoxicum maeoticum
Accession: LN880581	Species: Vincetoxicum glaucum
Accession: LN880596	Species: Vincetoxicum tauricum
Accession: LN880584	Species: Vincetoxicum jailicola
Accession: LN880592	Species: Vincetoxicum sakesarense
Accession: LN880583	Species: Vincetoxicum intermedium
Accession: LN880598	Species: Vincetoxicum volubile
Accession: LN880597	Species: Vincetoxicum tmoleum
Accession: LN880588	Species: Vincetoxicum pumilum
Accession: LN880585	Species: Vincetoxicum linifolium
Accession: LN880579	Species: Vincetoxicum funebre
Accession: LN880574	Species: Vincetoxicum arnottianum
Accession: LN880593	Species: Vincetoxicum scandens
Accession: HE793936	Species: Vincetoxicum versicolor
Accession: HE793932	Species: Vincetoxicum ovatum
Accession: HE793930	Species: Vincetoxicum glaucescens
Accession: MH808518	Species: Vincetoxicum forrestii
Accession: HE793928	Species: Vincetoxicum creticum
Accession: MH712653	Species: Vincetoxicum mongolicum
Accession: HE793934	Species: Vincetoxicum stauntonii
Accession: FJ517165	Species: Vincetoxicum rossicum
Accession: LN880582	Species: Vincetoxicum inamoenum
Accession: AB110003	Species: Vincetoxicum hoyoense
Accession: AB110002	Species: Vincetoxicum izuense
Accession: AB110001	Species: Vincetoxicum yonakuniense
Accession: AB110000	Species: Vincetoxicum yamanakae
Accession: HE793933	Species: Vincetoxicum pycnostelma
Accession: AB109995	Species: Vincetoxicum nipponicum
Accession: AB109994	Species: Vincetoxicum magnificum
